team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Athletic Club Bilbao,Athletic Club Bilbao,2023/2024,Spain,28,14,14,0,15,10,5,8,3,5,5,1,4,1.89,2.36,1.43,5,5,5,5,48,26,22,74,48,26,34,14,14,12,20,2,53,37,90,97,90,105,14,7,7,10,6,4,8,2,6,16,10,6,151,78,73,65,29,36,49,50,48,300,170,130,162,101,61,138,69,69,392,194,198,24,14,10,9,6,3,15,8,7,14,8,6,11,5,6,3,1,2,1.89,2.07,1.71,2.64,3.43,1.86,1.71,2.43,1,0.93,1,0.86,1.18,1.43,0.93,0.86,1,0.71,0.32,0.43,0.21,24,21,13,9,4,2,13,12,10,7,3,2,11,9,3,2,1,0,4,7,15,19,24,26,1,2,4,7,11,12,3,5,11,12,13,14,86,75,46,32,14,7,93,86,71,50,21,14,79,64,21,14,7,0,14,25,54,68,86,93,7,14,29,50,79,86,21,36,79,86,93,100,18,8,4,10,5,2,8,3,2,64,29,14,71,36,14,57,21,14,54,71,36,17,50,50,50,36,43,29,29,14,43,57,71,43,23,11,12,82,79,86,12,5,7,43,36,50,3,2,1,11,14,7,50,57,43,39,36,43,11,7,14,5.39,5.57,5.21,2.32,2.07,2.57,96,86,56,36,28,25,14,11,1.50,1.73,1.28,1.17,1.09,1.26,61,6,4,6,3,6,4,10,2,7,2,1,3,2,3,3,6,2,4,29,21,36,18,7,29,0
CA Osasuna,CA Osasuna,2023/2024,Spain,28,14,14,0,10,6,4,6,3,3,12,5,7,1.29,1.5,1.07,10,11,10,10,31,39,-8,70,32,38,15,16,17,22,-2,-6,81,84,79,65,74,57,9,6,3,13,5,8,7,4,3,13,7,6,126,73,53,66,41,25,50,50,49,260,151,109,121,65,56,139,86,53,388,196,192,11,6,5,15,8,7,-4,-2,-2,6,3,3,13,7,6,9,4,5,1.11,1.14,1.07,2.5,2.29,2.71,1.11,1.07,1.14,1.39,1.21,1.57,0.93,1,0.86,0.39,0.43,0.36,0.54,0.57,0.5,27,22,10,6,4,1,13,10,4,2,2,1,14,12,6,4,2,0,1,6,18,22,24,27,1,4,10,12,12,13,0,2,8,10,12,14,96,79,36,21,14,4,93,71,29,14,14,7,100,86,43,29,14,0,4,21,64,79,86,96,7,29,71,86,86,93,0,14,57,71,86,100,19,7,0,9,5,0,10,2,0,68,25,0,64,36,0,71,14,0,36,43,29,5,32,43,21,46,36,57,25,29,21,46,50,43,15,8,7,54,57,50,18,9,9,64,64,64,4,2,2,14,14,14,21,21,21,46,50,43,32,29,36,4.50,5.21,3.79,2.36,2.93,1.79,79,79,71,36,25,14,7,0,1.30,1.46,1.13,1.26,1.10,1.44,61,3,1,4,2,3,4,2,6,6,1,7,3,1,3,5,7,5,7,21,21,21,43,36,50,0
Valencia CF,Valencia CF,2023/2024,Spain,27,14,13,0,11,8,3,7,4,3,9,2,7,1.48,2,0.92,8,6,12,8,32,31,1,63,26,37,18,14,8,23,10,-9,76,70,83,78,158,51,9,8,1,12,5,7,8,3,5,14,9,5,85,52,33,56,25,31,44,46,41,227,126,101,117,64,53,110,62,48,333,163,170,15,12,3,11,3,8,4,9,-5,8,7,1,12,5,7,7,2,5,1.33,1.86,0.77,2.33,1.86,2.85,1.19,1.29,1.08,1.15,0.57,1.77,0.96,1.07,0.85,0.56,0.86,0.23,0.41,0.21,0.62,25,17,12,6,2,1,12,7,5,2,0,0,13,10,7,4,2,1,2,10,15,21,25,26,2,7,9,12,14,14,0,3,6,9,11,12,93,63,44,22,7,4,86,50,36,14,0,0,100,77,54,31,15,8,7,37,56,78,93,96,14,50,64,86,100,100,0,23,46,69,85,92,17,8,1,9,5,1,8,3,0,63,30,4,64,36,7,62,23,0,41,57,23,29,33,57,8,44,36,54,30,21,38,52,64,38,17,11,6,63,79,46,17,7,10,63,50,77,3,1,2,11,7,15,30,50,8,44,36,54,26,14,38,3.15,3.71,2.54,2.07,1.79,2.38,67,59,48,26,11,11,7,4,0.90,0.98,0.81,1.26,1.09,1.44,56,4,2,5,2,2,5,6,2,4,3,0,2,2,7,4,2,2,9,26,29,23,33,14,54,0
Real Sociedad de Fútbol,Real Sociedad,2023/2024,Spain,28,13,15,0,11,5,6,10,5,5,7,3,4,1.54,1.54,1.53,6,12,4,6,40,31,9,71,34,37,19,21,15,16,4,5,63,62,64,81,78,84,10,4,6,16,7,9,7,4,3,12,7,5,140,66,74,76,33,43,57,56,57,294,151,143,146,78,68,148,73,75,452,195,257,19,8,11,14,4,10,5,4,1,9,5,4,13,6,7,6,2,4,1.43,1.62,1.27,2.54,2.62,2.47,1.43,1.46,1.4,1.11,1.15,1.07,1.18,0.92,1.4,0.68,0.62,0.73,0.5,0.31,0.67,23,18,14,7,4,2,11,8,5,3,2,2,12,10,9,4,2,0,5,10,14,21,24,26,2,5,8,10,11,11,3,5,6,11,13,15,82,64,50,25,14,7,85,62,38,23,15,15,80,67,60,27,13,0,18,36,50,75,86,93,15,38,62,77,85,85,20,33,40,73,87,100,18,10,5,7,3,2,11,7,3,64,36,18,54,23,15,73,47,20,39,38,40,-1,36,31,40,57,54,60,25,31,20,43,54,33,18,10,8,64,77,53,13,7,6,46,54,40,7,2,5,25,15,33,32,38,27,46,46,47,21,15,27,5.00,5.08,4.93,2.71,2.54,2.87,82,64,56,43,28,21,7,7,1.38,1.53,1.25,1.16,1.10,1.21,57,5,1,3,4,7,1,7,3,9,2,3,3,3,6,2,1,3,8,36,38,33,25,23,27,7
Rayo Vallecano,Rayo Vallecano,2023/2024,Spain,28,13,15,0,5,1,4,11,7,4,12,5,7,0.93,0.77,1.07,16,19,7,16,23,38,-15,61,34,27,12,11,22,16,-10,-5,110,98,123,66,53,84,9,2,7,11,8,3,12,4,8,11,6,5,118,74,44,81,32,49,49,52,47,287,158,129,147,79,68,140,79,61,413,200,213,14,8,6,14,11,3,0,-3,3,5,2,3,18,8,10,5,3,2,1.18,1.08,1.27,2.18,2.62,1.8,0.82,0.92,0.73,1.36,1.69,1.07,1,1.46,0.6,0.5,0.62,0.4,0.5,0.85,0.2,24,19,10,5,1,1,12,11,5,3,1,1,12,8,5,2,0,0,4,9,18,23,27,27,1,2,8,10,12,12,3,7,10,13,15,15,86,68,36,18,4,4,92,85,38,23,8,8,80,53,33,13,0,0,14,32,64,82,96,96,8,15,62,77,92,92,20,47,67,87,100,100,16,10,2,10,7,2,6,3,0,57,36,7,77,54,15,40,20,0,18,8,27,-6,32,15,47,39,62,20,43,31,53,39,46,33,17,5,12,61,38,80,16,5,11,57,38,73,7,6,1,25,46,7,18,15,20,64,62,67,18,23,13,4.21,5.69,2.93,2.89,2.46,3.27,68,68,61,50,43,25,14,11,1.33,1.57,1.12,1.42,1.36,1.47,39,2,2,5,2,4,0,0,4,4,2,3,1,3,8,3,5,2,11,39,54,27,43,38,47,4
Getafe Club de Fútbol,Getafe CF,2023/2024,Spain,28,13,15,0,8,7,1,11,4,7,9,2,7,1.25,1.92,0.67,12,8,16,12,36,42,-6,78,30,48,17,19,13,29,4,-10,70,69,71,60,90,47,8,6,2,14,5,9,9,4,5,13,7,6,111,51,60,115,55,60,43,45,42,274,129,145,144,66,78,130,63,67,459,220,239,21,11,10,19,6,13,2,5,-3,8,4,4,11,7,4,9,2,7,1.25,1.46,1.07,2.79,2.31,3.2,1.29,1.31,1.27,1.5,1,1.93,1.43,1.31,1.53,0.75,0.85,0.67,0.68,0.46,0.87,25,21,13,9,6,3,11,8,4,3,3,1,14,13,9,6,3,2,3,7,15,19,22,25,2,5,9,10,10,12,1,2,6,9,12,13,89,75,46,32,21,11,85,62,31,23,23,8,93,87,60,40,20,13,11,25,54,68,79,89,15,38,69,77,77,92,7,13,40,60,80,87,22,12,4,8,6,2,14,6,2,79,43,14,62,46,15,93,40,13,29,54,7,18,29,46,13,50,38,60,32,31,33,46,54,40,11,7,4,39,54,27,15,7,8,54,54,53,8,4,4,29,31,27,29,31,27,39,54,27,32,15,47,3.96,3.92,4.00,4.11,4.23,4.00,79,68,50,32,21,18,11,4,1.17,1.19,1.16,1.39,1.22,1.53,79,4,4,2,6,5,3,2,2,8,5,3,1,4,9,6,7,2,5,39,31,47,32,15,47,0
UD Almería,Almería,2023/2024,Spain,28,14,14,0,0,0,0,10,8,2,18,6,12,0.36,0.57,0.14,20,20,19,20,27,57,-30,84,39,45,14,13,25,32,-11,-19,94,90,97,44,50,39,4,4,0,18,8,10,10,6,4,8,3,5,129,64,65,73,30,43,46,51,42,299,178,121,145,86,59,154,92,62,357,184,173,14,6,8,25,9,16,-11,-3,-8,4,2,2,12,7,5,12,5,7,0.86,0.93,0.79,3,2.79,3.21,0.96,1,0.93,2.04,1.79,2.29,1.39,1.07,1.71,0.5,0.43,0.57,0.89,0.64,1.14,24,21,18,11,6,3,10,10,9,7,2,1,14,11,9,4,4,2,4,7,10,17,22,25,4,4,5,7,12,13,0,3,5,10,10,12,86,75,64,39,21,11,71,71,64,50,14,7,100,79,64,29,29,14,14,25,36,61,79,89,29,29,36,50,86,93,0,21,36,71,71,86,20,13,4,9,5,1,11,8,3,71,46,14,64,36,7,79,57,21,0,0,0,8,14,29,0,64,57,71,36,43,29,29,21,36,12,7,5,43,50,36,18,10,8,64,71,57,6,2,4,21,14,29,14,14,14,43,50,36,43,36,50,4.61,4.57,4.64,2.61,2.14,3.07,89,82,75,54,39,32,25,21,1.32,1.55,1.08,1.61,1.44,1.79,79,5,0,2,1,7,2,4,4,2,5,5,6,6,3,7,6,5,14,36,57,14,64,43,86,11
Real Club Deportivo Mallorca,RCD Mallorca,2023/2024,Spain,28,14,14,0,5,4,1,12,7,5,11,3,8,0.96,1.36,0.57,15,13,17,15,24,35,-11,59,25,34,13,11,12,23,1,-12,105,97,114,72,105,55,7,5,2,13,7,6,12,5,7,8,6,2,123,79,44,86,47,39,44,46,41,258,124,134,124,63,61,134,61,73,433,207,226,12,9,3,18,7,11,-6,2,-8,3,3,0,19,10,9,6,1,5,1,1.36,0.64,2.11,1.79,2.43,0.86,0.93,0.79,1.25,0.86,1.64,1.07,1.14,1,0.43,0.64,0.21,0.64,0.5,0.79,24,15,8,6,3,1,11,7,4,2,1,0,13,8,4,4,2,1,4,13,20,22,25,27,3,7,10,12,13,14,1,6,10,10,12,13,86,54,29,21,11,4,79,50,29,14,7,0,93,57,29,29,14,7,14,46,71,79,89,96,21,50,71,86,93,100,7,43,71,71,86,93,16,10,2,9,6,1,7,4,1,57,36,7,64,43,7,50,29,7,18,29,7,20,25,36,14,46,50,43,43,36,50,29,43,14,14,7,7,50,50,50,17,6,11,61,43,79,9,6,3,32,43,21,11,21,0,68,71,64,21,7,36,4.39,5.64,3.14,3.07,3.36,2.79,82,71,56,36,25,11,7,4,1.07,1.09,1.04,1.36,1.23,1.49,32,4,2,0,2,5,2,2,0,7,5,3,2,3,6,1,6,5,4,43,50,36,39,21,57,4
Cádiz CF,Cádiz,2023/2024,Spain,28,14,14,0,3,3,0,13,7,6,12,4,8,0.79,1.14,0.43,18,16,18,18,20,38,-18,58,30,28,13,7,17,21,-4,-14,127,97,180,66,74,60,6,5,1,12,6,6,14,6,8,9,5,4,120,63,57,95,48,47,42,45,39,241,137,104,113,63,50,128,74,54,423,217,206,13,8,5,12,6,6,1,2,-1,8,5,3,14,6,8,6,3,3,1.36,1.5,1.21,2.07,2.14,2,0.71,0.93,0.5,1.36,1.21,1.5,0.89,1,0.79,0.46,0.57,0.36,0.43,0.43,0.43,24,20,7,5,2,0,11,9,5,4,1,0,13,11,2,1,1,0,4,8,21,23,26,28,3,5,9,10,13,14,1,3,12,13,13,14,86,71,25,18,7,0,79,64,36,29,7,0,93,79,14,7,7,0,14,29,75,82,93,100,21,36,64,71,93,100,7,21,86,93,93,100,16,6,3,9,3,2,7,3,1,57,21,11,64,21,14,50,21,7,11,21,0,21,21,36,7,43,43,43,50,43,57,32,36,29,17,8,9,61,57,64,18,8,10,64,57,71,5,3,2,18,21,14,29,36,21,50,43,57,21,21,21,4.29,4.50,4.07,3.39,3.43,3.36,79,75,61,46,28,25,18,11,0.90,1.02,0.78,1.52,1.25,1.79,32,2,5,5,0,2,1,2,0,3,5,2,2,2,3,7,7,3,7,46,50,43,43,29,57,7
Girona FC,Girona FC,2023/2024,Spain,28,14,14,0,19,11,8,5,2,3,4,1,3,2.21,2.5,1.93,2,3,3,2,59,33,26,92,49,43,35,24,14,19,21,5,43,36,53,76,90,66,10,7,3,15,6,9,5,2,3,15,8,7,124,61,63,58,24,34,57,59,55,302,158,144,167,94,73,135,64,71,314,148,166,27,17,10,17,8,9,10,9,1,11,7,4,12,6,6,5,1,4,1.61,1.93,1.29,3.29,3.5,3.07,2.11,2.5,1.71,1.18,1,1.36,1.57,1.79,1.36,0.96,1.21,0.71,0.61,0.57,0.64,26,21,17,9,8,7,13,11,9,4,4,4,13,10,8,5,4,3,2,7,11,19,20,21,1,3,5,10,10,10,1,4,6,9,10,11,93,75,61,32,29,25,93,79,64,29,29,29,93,71,57,36,29,21,7,25,39,68,71,75,7,21,36,71,71,71,7,29,43,64,71,79,19,12,6,8,6,4,11,6,2,68,43,21,57,43,29,79,43,14,68,79,57,17,36,50,21,54,43,64,18,14,21,54,57,50,15,9,6,54,64,43,14,7,7,50,50,50,8,4,4,29,29,29,39,50,29,43,43,43,18,7,29,4.43,4.36,4.50,2.07,1.71,2.43,75,64,56,46,43,25,14,7,1.50,1.61,1.40,1.41,1.20,1.62,104,1,9,4,9,5,9,3,6,13,7,3,3,2,3,6,3,1,5,18,14,21,14,7,21,7
